utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
98 %, 81 %, 10986 MiB, 47 MiB, 10939 MiB, 77
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
98 %, 83 %, 10986 MiB, 47 MiB, 10939 MiB, 77
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
98 %, 82 %, 10986 MiB, 47 MiB, 10939 MiB, 78
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
98 %, 84 %, 10986 MiB, 55 MiB, 10931 MiB, 79
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
98 %, 79 %, 10986 MiB, 56 MiB, 10930 MiB, 78
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
99 %, 78 %, 10986 MiB, 56 MiB, 10930 MiB, 79
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
98 %, 81 %, 10986 MiB, 56 MiB, 10930 MiB, 79
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
98 %, 82 %, 10986 MiB, 56 MiB, 10930 MiB, 79
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
98 %, 83 %, 10986 MiB, 56 MiB, 10930 MiB, 80
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
98 %, 83 %, 10986 MiB, 56 MiB, 10930 MiB, 80
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
98 %, 84 %, 10986 MiB, 56 MiB, 10930 MiB, 80
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
98 %, 83 %, 10986 MiB, 56 MiB, 10930 MiB, 80
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
98 %, 83 %, 10986 MiB, 56 MiB, 10930 MiB, 81
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
98 %, 79 %, 10986 MiB, 56 MiB, 10930 MiB, 81
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
98 %, 77 %, 10986 MiB, 56 MiB, 10930 MiB, 81
