utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
2 %, 2 %, 10986 MiB, 10314 MiB, 672 MiB, 43
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
14 %, 4 %, 10986 MiB, 10308 MiB, 678 MiB, 43
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
2 %, 2 %, 10986 MiB, 10308 MiB, 678 MiB, 43
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
8 %, 2 %, 10986 MiB, 10308 MiB, 678 MiB, 43
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
5 %, 2 %, 10986 MiB, 10308 MiB, 678 MiB, 43
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
1 %, 2 %, 10986 MiB, 10308 MiB, 678 MiB, 43
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
1 %, 2 %, 10986 MiB, 10308 MiB, 678 MiB, 42
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
0 %, 2 %, 10986 MiB, 10308 MiB, 678 MiB, 42
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
1 %, 2 %, 10986 MiB, 10308 MiB, 678 MiB, 42
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
1 %, 2 %, 10986 MiB, 10308 MiB, 678 MiB, 42
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
2 %, 2 %, 10986 MiB, 10307 MiB, 679 MiB, 42
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
12 %, 3 %, 10986 MiB, 10318 MiB, 668 MiB, 42
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
8 %, 2 %, 10986 MiB, 10318 MiB, 668 MiB, 42
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
23 %, 3 %, 10986 MiB, 10318 MiB, 668 MiB, 42
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
1 %, 2 %, 10986 MiB, 10318 MiB, 668 MiB, 42
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
15 %, 1 %, 10986 MiB, 398 MiB, 10588 MiB, 43
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
4 %, 0 %, 10986 MiB, 398 MiB, 10588 MiB, 43
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
6 %, 0 %, 10986 MiB, 398 MiB, 10588 MiB, 43
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
12 %, 0 %, 10986 MiB, 134 MiB, 10852 MiB, 43
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
62 %, 44 %, 10986 MiB, 40 MiB, 10946 MiB, 46
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
86 %, 68 %, 10986 MiB, 40 MiB, 10946 MiB, 47
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
85 %, 70 %, 10986 MiB, 40 MiB, 10946 MiB, 47
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
86 %, 71 %, 10986 MiB, 40 MiB, 10946 MiB, 48
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
86 %, 69 %, 10986 MiB, 30 MiB, 10956 MiB, 49
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
85 %, 71 %, 10986 MiB, 40 MiB, 10946 MiB, 49
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
84 %, 70 %, 10986 MiB, 40 MiB, 10946 MiB, 49
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
84 %, 69 %, 10986 MiB, 40 MiB, 10946 MiB, 50
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
46 %, 35 %, 10986 MiB, 10318 MiB, 668 MiB, 48
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
21 %, 2 %, 10986 MiB, 10318 MiB, 668 MiB, 48
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
0 %, 0 %, 10986 MiB, 10318 MiB, 668 MiB, 47
