utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
93 %, 57 %, 10986 MiB, 57 MiB, 10929 MiB, 82
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
93 %, 57 %, 10986 MiB, 57 MiB, 10929 MiB, 83
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
96 %, 56 %, 10986 MiB, 78 MiB, 10908 MiB, 83
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
95 %, 55 %, 10986 MiB, 76 MiB, 10910 MiB, 83
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
93 %, 57 %, 10986 MiB, 76 MiB, 10910 MiB, 84
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
93 %, 57 %, 10986 MiB, 76 MiB, 10910 MiB, 83
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
93 %, 57 %, 10986 MiB, 76 MiB, 10910 MiB, 84
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
95 %, 58 %, 10986 MiB, 74 MiB, 10912 MiB, 84
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
93 %, 55 %, 10986 MiB, 74 MiB, 10912 MiB, 83
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
95 %, 56 %, 10986 MiB, 68 MiB, 10918 MiB, 84
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
95 %, 55 %, 10986 MiB, 68 MiB, 10918 MiB, 84
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
94 %, 57 %, 10986 MiB, 68 MiB, 10918 MiB, 84
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
93 %, 57 %, 10986 MiB, 68 MiB, 10918 MiB, 84
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
91 %, 55 %, 10986 MiB, 68 MiB, 10918 MiB, 84
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
93 %, 56 %, 10986 MiB, 68 MiB, 10918 MiB, 85
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
93 %, 57 %, 10986 MiB, 68 MiB, 10918 MiB, 85
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
92 %, 55 %, 10986 MiB, 68 MiB, 10918 MiB, 85
utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
94 %, 55 %, 10986 MiB, 68 MiB, 10918 MiB, 84
